Season,Programs (SP + LP),Competition,SP,SP Ranking,LP,LP Ranking,Total Scores,Total Ranking
2008/09,SP Bolero + LP Paganini,全日青,64.50,8,117.15,5,181.65,8
2008/09,SP Bolero + LP Paganini,JWC,58.18,11,103.59,13,161.77,12
2009/10,SP Mission Impossible + LP Paganini,JGPF,69.85,3,136.92,1,206.77,1
2009/10,SP Mission Impossible + LP Paganini,JWC,68.75,3,147.35,1,216.10,1
2010/11,SP White Legend + LP Zigeunerweisen,GPS NHK,69.31,5,138.41,4,207.72,4
2010/11,SP White Legend + LP Zigeunerweisen,GPS CoR,70.24,6,132.42,6,202.66,7
2010/11,SP White Legend + LP Zigeunerweisen,全日,78.92,2,141.12,4,220.06,4
2010/11,SP White Legend + LP Zigeunerweisen,4CC,76.43,3,151.58,3,228.01,2
2011/12,SP 悲怆 + LP 罗朱 1.0,Challenger Nebelhorn,75.26,1,151.00,1,226.26,1
2011/12,SP 悲怆 + LP 罗朱 1.0,GPS CoC,81.37,2,145.16,4,226.53,4
2011/12,SP 悲怆 + LP 罗朱 1.0,GPS CoR,82.78,2,158.88,2,241.66,1
2011/12,SP 悲怆 + LP 罗朱 1.0,GPF,79.33,4,166.49,3,245.82,4
2011/12,SP 悲怆 + LP 罗朱 1.0,全日,74.32,4,167.59,1,241.91,3
2011/12,SP 悲怆 + LP 罗朱 1.0,WC,77.07,7,173.99,2,251.06,3
2012/13,SP 巴散 1.0 + LP Notre Dame,Challenger Finlandia,75.57,2,172.56,1,248.13,1
2012/13,SP 巴散 1.0 + LP Notre Dame,GPS SA,95.07,1,148.67,3,243.74,2
2012/13,SP 巴散 1.0 + LP Notre Dame,GPS NHK,95.32,1,165.71,1,261.03,1
2012/13,SP 巴散 1.0 + LP Notre Dame,GPF,87.17,3,177.12,2,264.29,2
2012/13,SP 巴散 1.0 + LP Notre Dame,全日,97.68,1,187.55,2,285.23,1
2012/13,SP 巴散 1.0 + LP Notre Dame,4CC,87.65,1,158.73,3,246.38,2
2012/13,SP 巴散 1.0 + LP Notre Dame,WC,75.94,9,169.05,3,244.99,4
2013/14,SP 巴散 2.0 + LP 罗朱 2.0,Challenger Finlandia,84.66,1,180.93,1,265.59,1
2013/14,SP 巴散 2.0 + LP 罗朱 2.0,GPS SC,80.40,3,154.40,2,234.8,2
2013/14,SP 巴散 2.0 + LP 罗朱 2.0,GPS TEB,95.37,2,168.22,2,263.59,2
2013/14,SP 巴散 2.0 + LP 罗朱 2.0,GPF,99.84,1,193.41,1,293.25,1
2013/14,SP 巴散 2.0 + LP 罗朱 2.0,全日,103.10,1,194.70,1,297.80,1
2013/14,SP 巴散 2.0 + LP 罗朱 2.0,OG,101.45,1,178.64,1,280.09,1
2013/14,SP 巴散 2.0 + LP 罗朱 2.0,WC,91.24,3,191.35,1,282.59,1
2014/15,SP 叙一 1.0 + LP 魅影,GPS CoC,82.95,2,154.60,2,237.55,2
2014/15,SP 叙一 1.0 + LP 魅影,GPS NHK,78.01,5,151.79,3,229.80,4
2014/15,SP 叙一 1.0 + LP 魅影,GPF,94.08,1,194.08,1,288.16,1
2014/15,SP 叙一 1.0 + LP 魅影,全日,94.36,1,192.50,1,286.86,1
2014/15,SP 叙一 1.0 + LP 魅影,WC,95.20,1,175.88,3,271.08,2
2014/15,SP 叙一 1.0 + LP 魅影,WTT,96.27,1,192.31,1,288.58,1
2015/16,SP 叙一 2.0 + LP SEIMEI 1.0,SCACI,93.14,1,184.05,1,277.19,1
2015/16,SP 叙一 2.0 + LP SEIMEI 1.0,GPS SC,73.25,6,186.29,2,259.54,2
2015/16,SP 叙一 2.0 + LP SEIMEI 1.0,GPS NHK,106.33,1,216.07,1,322.40,1
2015/16,SP 叙一 2.0 + LP SEIMEI 1.0,GPF,110.95,1,219.48,1,330.43,1
2015/16,SP 叙一 2.0 + LP SEIMEI 1.0,全日,102.63,1,183.73,1,286.36,1
2015/16,SP 叙一 2.0 + LP SEIMEI 1.0,WC,110.56,1,184.61,3,295.17,2
2016/17,SP 走疯 + LP 希望与遗赠,SCACI,88.30,1,172.27,1,260.57,1
2016/17,SP 走疯 + LP 希望与遗赠,GPS SC,79.65,4,183.41,1,263.06,2
2016/17,SP 走疯 + LP 希望与遗赠,GPS NHK,103.89,1,197.58,1,301.47,1
2016/17,SP 走疯 + LP 希望与遗赠,GPF,106.53,1,187.37,3,293.90,1
2016/17,SP 走疯 + LP 希望与遗赠,4CC,97.04,3,206.67,1,303.71,2
2016/17,SP 走疯 + LP 希望与遗赠,WC,98.39,5,223.20,1,321.59,1
2016/17,SP 走疯 + LP 希望与遗赠,WTT,83.51,7,200.49,1,284.00,3
2017/18,SP 叙一 3.0 + LP SEIMEI 2.0,SCACI,112.72,1,155.52,5,268.24,2
2017/18,SP 叙一 3.0 + LP SEIMEI 2.0,GPS CoR,94.85,2,195.92,1,290.77,2
2017/18,SP 叙一 3.0 + LP SEIMEI 2.0,OG,111.68,1,206.17,2,317.85,1